订单号,箱号,箱子类型,原材料号,单位,时间
76,SE4V 26YFPM,E4,B6T0000000261,箱,2026/6/2 21:59
77,SE4V VXPJ4H,E4,B6T0000000261,箱,2026/6/2 21:59
78,SE4V NRIUU9,E4,B6T0000000261,箱,2026/6/2 21:59
79,SE4V K9XJUY,E4,B6T0000000261,箱,2026/6/2 21:59
80,SE4V 0BVR6K,E4,B6T0000000261,箱,2026/6/2 21:59
81,SE4V 2VMWWY,E4,B6T0000000261,箱,2026/6/2 21:59
82,SE4V ZX4W6X,E4,B6T0000000261,箱,2026/6/2 21:59
83,SE4V 2BNE6L,E4,B6T0000000261,箱,2026/6/4 21:58
84,SE4V GET8T6,E4,B6T0000000261,箱,2026/6/6 7:01
85,SE4V 3J3R30,E4,B6T0000000261,箱,2026/6/6 7:01
86,SE4V ME8F84,E4,B6T0000000261,箱,2026/6/6 7:01
87,SE4V 0982N2,E4,B6T0000000261,箱,2026/6/6 7:01
88,SE4V ATQYYV,E4,B6T0000000261,箱,2026/6/6 7:01
89,SE4V 37DIA5,E4,B6T0000000261,箱,2026/6/6 7:01
90,SE4V U6HC36,E4,B6T0000000261,箱,2026/6/6 7:01
91,SE4V KOF8KR,E4,B6T0000000261,箱,2026/6/6 7:01
92,SE4V D5EQY0,E4,B6T0000000261,箱,2026/6/6 7:01
93,SE4V 8P0FOD,E4,B6T0000000261,箱,2026/6/6 7:01
94,SE4V RO8BNP,E4,B6T0000000261,箱,2026/6/6 7:01
95,SE4V 84DYT9,E4,B6T0000000261,箱,2026/6/6 7:01
96,SE4V CJ883D,E4,B6T0000000261,箱,2026/6/5 14:28
97,SE4V HX8BM9,E4,B6T0000000261,箱,2026/6/5 14:28
98,SE4V 2H3TV3,E4,B6T0000000261,箱,2026/6/5 14:28
99,SE4V I12VJ9,E4,B6T0000000261,箱,2026/6/5 14:28
100,SE4V 9T2D5E,E4,B6T0000000261,箱,2026/6/5 14:28
101,SE4V M2VAJE,E4,B6T0000000261,箱,2026/6/5 14:28
102,SE4V PECQNV,E4,B6T0000000261,箱,2026/6/5 14:28
103,SE4V QHW06X,E4,B6T0000000261,箱,2026/6/5 14:28
104,SE4V KXB94P,E4,B6T0000000261,箱,2026/6/5 14:28
105,SE4V DZP6LF,E4,B6T0000000261,箱,2026/6/5 14:28
106,SE4V EWVZNV,E4,B6T0000000261,箱,2026/6/5 14:28
107,SE4V KSP2EX,E4,B6T0000000261,箱,2026/6/5 14:28
108,SE4V 5T5P5O,E4,B6T0000000261,箱,2026/6/5 14:28
109,SE4V 3O0LLJ,E4,B6T0000000261,箱,2026/6/5 14:28
110,SE4V DDP0NE,E4,B6T0000000154,箱,2026/6/2 6:33
111,SE4V C8UYO5,E4,B6T0000000154,箱,2026/6/2 6:33
112,SE4V 7P6BKL,E4,B6T0000000154,箱,2026/6/2 6:33
113,SE4V DSFR4M,E4,B6T0000000154,箱,2026/6/2 6:33
114,SE4V UEKIPU,E4,B6T0000000154,箱,2026/6/2 6:33
115,SE4V 1WYUVX,E4,B6T0000000154,箱,2026/6/2 6:33
116,SE4V YBJ17M,E4,B6T0000000154,箱,2026/6/2 6:33
117,SE4V GFXC08,E4,B6T0000000154,箱,2026/6/2 6:33
118,SE4V DTNQFL,E4,B6T0000000154,箱,2026/6/2 6:33
119,SE4V L7V5F1,E4,B6T0000000154,箱,2026/6/2 6:33
120,SE4V BCPPVO,E4,B6T0000000154,箱,2026/6/2 6:33
121,SE4V HSMDYV,E4,B6T0000000154,箱,2026/6/2 6:33
122,SE4V SLH9BH,E4,B6T0000000154,箱,2026/6/2 6:33
123,SE4V 811KER,E4,B6T0000000154,箱,2026/6/2 6:33
124,SE4V PETIUY,E4,B6T0000000154,箱,2026/6/2 6:33
125,SE4V MO0PQC,E4,B6T0000000154,箱,2026/6/2 6:33
126,SE4V UUZPEA,E4,B6T0000000154,箱,2026/6/5 6:11
127,SE4V L2W37D,E4,B6T0000000154,箱,2026/6/5 6:11
128,SE4V 4IVSOL,E4,B6T0000000154,箱,2026/6/5 6:11
129,SE4V MLGSES,E4,B6T0000000154,箱,2026/6/5 6:11
130,SE4V 6M033I,E4,B6T0000000154,箱,2026/6/5 6:11
131,SE4V FHV1XG,E4,B6T0000000154,箱,2026/6/5 6:11
132,SE4V 1R11Q7,E4,B6T0000000154,箱,2026/6/5 6:11
133,SE4V UWW5WF,E4,B6T0000000154,箱,2026/6/5 6:11
134,SE4V CPKJCS,E4,B6T0000000154,箱,2026/6/5 6:11
135,SE4V LQC3C5,E4,B6T0000000154,箱,2026/6/5 6:11
136,SE4V 4WSQT2,E4,B6T0000000154,箱,2026/6/5 6:11
137,SE4V 6Q3XLR,E4,B6T0000000154,箱,2026/6/5 6:11
138,SE4V FCD6MZ,E4,B6T0000000154,箱,2026/6/5 6:11
139,SE4V SGIPPS,E4,B6T0000000154,箱,2026/6/5 6:11
140,SE4V FNKOMV,E4,B6T0000000154,箱,2026/6/5 6:11
141,SE4V 2XCDYK,E4,B6T0000000154,箱,2026/6/5 6:11
142,SE4V 0X65MU,E4,B6T0000000154,箱,2026/6/5 6:11
143,SE4V FM8ZOV,E4,B6T0000000154,箱,2026/6/5 6:11
144,SE4V 7LN23Y,E4,B6T0000000154,箱,2026/6/5 6:11
145,SE4V 30YSXP,E4,B6T0000000154,箱,2026/6/5 6:11
146,SE4V NNGH8R,E4,B6T0000000154,箱,2026/6/5 6:11
147,SE3V C4D145,E3,B6T0000000810,箱,2026/6/3 6:07
148,SE3V BM1ENF,E3,B6T0000000810,箱,2026/6/3 6:07
149,SE3V 313FPO,E3,B6T0000000810,箱,2026/6/3 6:07
150,SE3V 8V12II,E3,B6T0000000810,箱,2026/6/4 6:11
151,SE3V 826GYU,E3,B6T0000000810,箱,2026/6/4 6:11
152,SE3V P12SPF,E3,B6T0000000810,箱,2026/6/4 6:11
153,SE3V HV5BRN,E3,B6T0000000810,箱,2026/6/4 6:11
154,SE3V 7ZSEDF,E3,B6T0000000810,箱,2026/6/4 6:11
155,SE3V QS3D63,E3,B6T0000000810,箱,2026/6/4 6:11
156,SE3V 57OONN,E3,B6T0000000810,箱,2026/6/4 6:11
157,SE3V CILDZM,E3,B6T0000000810,箱,2026/6/4 6:11
158,SE3V FB7R31,E3,B6T0000000810,箱,2026/6/4 6:11
159,SE3V QW6AHF,E3,B6T0000000810,箱,2026/6/4 6:11
160,SE3V 7VP1IE,E3,B6T0000000810,箱,2026/6/4 6:11
161,SE3V IXWC4R,E3,B6T0000000810,箱,2026/6/4 6:11
162,SE3V TWUZKA,E3,B6T0000000810,箱,2026/6/4 6:11
163,SE3V MUGYSM,E3,B6T0000000810,箱,2026/6/4 6:11
164,SE3V 8T2SA5,E3,B6T0000000810,箱,2026/6/4 6:11
165,SE3V BNN0MC,E3,B6T0000000810,箱,2026/6/4 6:11
166,SE3V IXDU1E,E3,B6T0000000810,箱,2026/6/4 6:11
167,SE3V MMX3Y9,E3,B6T0000000810,箱,2026/6/4 6:11
168,SE3V RGEZ7B,E3,B6T0000000810,箱,2026/6/4 6:11
169,SE3V H25LLO,E3,B6T0000000810,箱,2026/6/4 6:11
170,SE3V 3RBXK5,E3,B6T0000000810,箱,2026/6/4 6:11
171,SE3V BXJ2PO,E3,B6T0000000810,箱,2026/6/4 6:11
172,SE3V P8MGYN,E3,B6T0000000810,箱,2026/6/4 6:11
173,SE3V 2JCPP9,E3,B6T0000000810,箱,2026/6/4 6:11
174,SE3V GKDLKQ,E3,B6T0000000810,箱,2026/6/4 6:11
175,SE3V ZFPQ06,E3,B6T0000000810,箱,2026/6/4 6:11
176,SE3V YOS0FB,E3,B6T0000000932,箱,2026/6/2 6:51
177,SE3V 4YPEIX,E3,B6T0000000932,箱,2026/6/2 6:51
178,SE3V N8BFQN,E3,B6T0000000932,箱,2026/6/2 6:51
179,SE3V PCENLK,E3,B6T0000000932,箱,2026/6/2 6:51
180,SE3V 8AGS6E,E3,B6T0000000932,箱,2026/6/2 6:51
181,SE3V 1ZHWY9,E3,B6T0000000932,箱,2026/6/2 6:51
182,SE3V HECGZ9,E3,B6T0000000932,箱,2026/6/2 6:51
183,SE3V YZTKKF,E3,B6T0000000932,箱,2026/6/5 6:05
184,SE3V ZZGNI9,E3,B6T0000000932,箱,2026/6/5 6:05
185,SE3V 2IRMUQ,E3,B6T0000000932,箱,2026/6/5 6:05
186,SE3V 9E5COZ,E3,B6T0000000932,箱,2026/6/5 6:05
187,SE3V ROOUEL,E3,B6T0000000932,箱,2026/6/5 6:05
188,SE3V QYM52X,E3,B6T0000000932,箱,2026/6/2 6:36
189,SE3V 1ES53S,E3,B6T0000000932,箱,2026/6/3 11:00
190,SE3V KF7I8S,E3,B6T0000000932,箱,2026/6/3 11:00
191,SE3V KCH8JW,E3,B6T0000000932,箱,2026/6/3 11:00
192,SE3V WDXVUG,E3,B6T0000000932,箱,2026/6/3 11:00
193,SE3V W6M7B5,E3,B6T0000000932,箱,2026/6/3 11:00
194,SE3V C81JHU,E3,B6T0000000932,箱,2026/6/3 11:00
195,SE3V WB6TXK,E3,B6T0000000932,箱,2026/6/3 11:00
196,SE3V I3OQYF,E3,B6T0000000932,箱,2026/6/3 11:00
197,SE3V OQMF5L,E3,B6T0000000932,箱,2026/6/3 11:00
198,SE3V 9MO1SD,E3,B6T0000000932,箱,2026/6/3 11:00
199,SE3V IEQFB8,E3,B6T0000000932,箱,2026/6/3 11:00
200,SE3V 5P8637,E3,B6T0000000932,箱,2026/6/3 11:00
201,SE3V ZGF9Q5,E3,B6T0000000932,箱,2026/6/3 11:00
202,SE3V RDOQIV,E3,B6T0000000932,箱,2026/6/3 11:00
203,SE3V BKV4YK,E3,B6T0000000932,箱,2026/6/3 11:00
204,SE3V ADEJNO,E3,B6T0000000932,箱,2026/6/3 11:00
205,SE3V NKNQT3,E3,B6T0000000581,箱,2026/6/3 14:41
206,SE3V WVEDN9,E3,B6T0000000581,箱,2026/6/3 14:41
207,SE3V UNFVOB,E3,B6T0000000581,箱,2026/6/3 14:41
208,SE3V BZ2SF6,E3,B6T0000000581,箱,2026/6/3 14:41
209,SE3V F7LOW4,E3,B6T0000000581,箱,2026/6/3 14:41
210,SE3V VSSRUR,E3,B6T0000000581,箱,2026/6/3 14:41
211,SE3V ALDOL6,E3,B6T0000000581,箱,2026/6/3 14:41
212,SE3V 5WVJX8,E3,B6T0000000581,箱,2026/6/3 14:41
213,SE3V UIBRSZ,E3,B6T0000000581,箱,2026/6/3 14:41
214,SE3V 1N3IUZ,E3,B6T0000000581,箱,2026/6/3 14:41
215,SE3V GPPOHS,E3,B6T0000000581,箱,2026/6/3 14:41
216,SE3V WQ40ZS,E3,B6T0000000581,箱,2026/6/3 14:41
217,SE3V U9RN8Q,E3,B6T0000000581,箱,2026/6/3 14:41
218,SE3V MM1ZXY,E3,B6T0000000581,箱,2026/6/7 17:17
219,SE3V VGIUI9,E3,B6T0000000581,箱,2026/6/7 17:17
220,SE3V 1ZYRRU,E3,B6T0000000581,箱,2026/6/4 20:41
221,SE3V 7ZKUT6,E3,B6T0000000581,箱,2026/6/4 20:41
222,SE3V OM1FB8,E3,B6T0000000581,箱,2026/6/4 20:41
223,SE3V C7X0H3,E3,B6T0000000581,箱,2026/6/4 20:41
224,SE3V JUJD0I,E3,B6T0000000581,箱,2026/6/4 20:41
225,SE3V B6IIDL,E3,B6T0000000581,箱,2026/6/4 20:41
226,SE3V RYE89F,E3,B6T0000000581,箱,2026/6/4 20:41
227,SE3V X5RX1K,E3,B6T0000000581,箱,2026/6/4 20:41
228,SE3V KC1XI0,E3,B6T0000000581,箱,2026/6/4 20:41
229,SE3V 4B7P47,E3,B6T0000000581,箱,2026/6/4 20:41
230,SE3V B42G05,E3,B6T0000000581,箱,2026/6/4 20:41
231,SE3V KBKV7M,E3,B6T0000000581,箱,2026/6/4 20:41
232,SE3V QXS6ES,E3,B6T0000000581,箱,2026/6/4 20:41
233,SE3V J3L0XZ,E3,B6T0000000581,箱,2026/6/4 20:41
234,SE3V AMKYGV,E3,B6T0000000581,箱,2026/6/4 20:41
235,SE3V WOPLOD,E3,B6T0000000581,箱,2026/6/4 20:41
236,SE3V 9R7ANQ,E3,B6T0000000581,箱,2026/6/4 20:41
237,SE3V JLUUJM,E3,B6T0000000581,箱,2026/6/4 20:41
238,SE3V IYQFY7,E3,B6T0000000581,箱,2026/6/4 20:41
239,SE3V 51YW7N,E3,B6T0000000581,箱,2026/6/4 20:41
240,SE3V H8RQ9N,E3,B6T0000000581,箱,2026/6/4 20:41
241,SE3V Z61231,E3,B6T0000000581,箱,2026/6/4 20:41
242,SE3V YV2STN,E3,B6T0000000581,箱,2026/6/4 20:41
243,SE3V 7E36HT,E3,B6T0000000581,箱,2026/6/4 20:41
244,SE3V F4PYZR,E3,B6T0000000581,箱,2026/6/4 20:41
245,SE3V 6QCEOU,E3,B6T0000000581,箱,2026/6/4 20:41
246,SE3V UYLAJA,E3,B6T0000000581,箱,2026/6/4 20:41
247,SE3V HCPZTC,E3,B6T0000000581,箱,2026/6/4 20:41
248,SE3V 69QKGE,E3,B6T0000000581,箱,2026/6/4 20:41
249,SE3V X08N6Q,E3,B6T0000000581,箱,2026/6/4 20:41
250,SE3V 7NC85E,E3,B6T0000000581,箱,2026/6/4 20:41
251,SE3V 4E9OE9,E3,B6T0000000581,箱,2026/6/4 20:41
252,SE3V 419QZP,E3,B6T0000000581,箱,2026/6/4 20:41
253,SE3V NIQFG5,E3,B6T0000000581,箱,2026/6/4 20:41
254,SE3V 1BXW76,E3,B6T0000000581,箱,2026/6/4 20:41
255,SE3V ICVQY5,E3,B6T0000000581,箱,2026/6/4 20:41
256,SE1V 0OIH5C,E1,B6T0000001466,箱,2026/6/4 6:17
257,SE1V SK30LV,E1,B6T0000001466,箱,2026/6/4 6:17
258,SE1V YLKFXH,E1,B6T0000001466,箱,2026/6/4 6:17
259,SE1V KC856W,E1,B6T0000001466,箱,2026/6/4 6:17
260,SE1V PR97Y2,E1,B6T0000001466,箱,2026/6/4 6:17
261,SE1V LOFN1R,E1,B6T0000001466,箱,2026/6/4 6:17
262,SE1V 4KZ36U,E1,B6T0000001466,箱,2026/6/4 6:17
263,SE1V 8UEIHX,E1,B6T0000001466,箱,2026/6/4 6:17
264,SE1V 74D0GJ,E1,B6T0000001466,箱,2026/6/4 6:17
265,SE1V YV5G10,E1,B6T0000001466,箱,2026/6/4 6:17
266,SE1V UR5L8A,E1,B6T0000001466,箱,2026/6/4 6:17
267,SE1V 78E9RI,E1,B6T0000001466,箱,2026/6/4 6:17
268,SE4V 1NTMJS,E4,B6T0000000305,箱,2026/6/5 6:40
269,SE4V RD9Q46,E4,B6T0000000305,箱,2026/6/5 6:40
270,SE4V NOUHFJ,E4,B6T0000000305,箱,2026/6/5 6:40
271,SE4V 7UPFLN,E4,B6T0000000305,箱,2026/6/5 6:40
272,SE4V RXYJ38,E4,B6T0000000305,箱,2026/6/4 6:34
273,SE4V XRG2GZ,E4,B6T0000000305,箱,2026/6/4 6:34
274,SE4V R7TXCB,E4,B6T0000000305,箱,2026/6/4 6:34
275,SE4V 48Y1O4,E4,B6T0000000305,箱,2026/6/4 6:34
276,SE4V IZASNW,E4,B6T0000000305,箱,2026/6/4 6:34
277,SE4V YWRRAT,E4,B6T0000000305,箱,2026/6/4 6:34
278,SE4V ATJ9A3,E4,B6T0000000305,箱,2026/6/4 6:34
279,SE4V 36DDFG,E4,B6T0000000305,箱,2026/6/6 11:24
280,SE4V S3JONO,E4,B6T0000000305,箱,2026/6/6 11:24
281,SE4V 9IY4X4,E4,B6T0000000305,箱,2026/6/4 6:50
282,SE4V 1DNTCA,E4,B6T0000000305,箱,2026/6/4 6:50
283,SE4V GRP2U4,E4,B6T0000000305,箱,2026/6/4 6:50
284,SE4V DTBH55,E4,B6T0000000305,箱,2026/6/4 6:50
285,SE4V RBC76U,E4,B6T0000000305,箱,2026/6/4 6:50
286,SE4V B7L8V1,E4,B6T0000000305,箱,2026/6/4 6:50
287,SE4V ZOCFI4,E4,B6T0000000305,箱,2026/6/4 6:50
288,SE4V O6L1F9,E4,B6T0000000305,箱,2026/6/4 6:50
289,SE3V DICVWV,E3,B6T0000001196,箱,2026/6/1 21:38
290,SE3V 8LW2QI,E3,B6T0000001196,箱,2026/6/1 21:38
291,SE3V TNGVN1,E3,B6T0000001196,箱,2026/6/1 21:38
292,SE3V 2ZCFZW,E3,B6T0000001196,箱,2026/6/4 20:02
293,SE3V 0LDALM,E3,B6T0000001196,箱,2026/6/4 20:02
294,SE3V JEGQTO,E3,B6T0000001196,箱,2026/6/4 20:02
295,SE3V AMDVLN,E3,B6T0000001196,箱,2026/6/4 20:02
296,SE3V KND669,E3,B6T0000001196,箱,2026/6/4 20:02
297,SE3V UGNEKR,E3,B6T0000001196,箱,2026/6/4 20:02
298,SE3V CPPRCJ,E3,B6T0000001196,箱,2026/6/4 20:02
299,SE3V IWVHDK,E3,B6T0000001196,箱,2026/6/4 20:02
300,SE3V 8LW2LM,E3,B6T0000001196,箱,2026/6/4 20:02
301,SE3V 349EL8,E3,B6T0000001196,箱,2026/6/4 20:02
302,SE3V HL88KZ,E3,B6T0000001196,箱,2026/6/4 20:02
303,SE3V RUIN3O,E3,B6T0000001196,箱,2026/6/4 20:02
304,SE3V EUVTYT,E3,B6T0000001196,箱,2026/6/4 20:02
305,SE3V 8QZPKY,E3,B6T0000001196,箱,2026/6/4 20:02
306,SE3V 32ORWI,E3,B6T0000001196,箱,2026/6/4 20:02
307,SE3V XZ2C9R,E3,B6T0000001196,箱,2026/6/4 20:02
308,SE3V OS7YT2,E3,B6T0000001196,箱,2026/6/4 20:02
309,SE3V Z3V6DI,E3,B6T0000001196,箱,2026/6/5 14:43
310,SE3V XFWUXX,E3,B6T0000001196,箱,2026/6/5 14:43
311,SE3V 8L2DDH,E3,B6T0000001196,箱,2026/6/5 14:43
312,SE3V 0UYHNQ,E3,B6T0000001196,箱,2026/6/5 14:43
313,SE3V YYF9RK,E3,B6T0000001196,箱,2026/6/5 14:43
314,SE3V 7D30MM,E3,B6T0000001196,箱,2026/6/5 14:43
315,SE3V SMDZQC,E3,B6T0000001196,箱,2026/6/3 18:15
316,SE3V BZAMD2,E3,B6T0000001196,箱,2026/6/3 18:15
317,SE3V 70STLP,E3,B6T0000001196,箱,2026/6/3 18:15
318,SE3V Q2WGXO,E3,B6T0000001196,箱,2026/6/3 18:15
319,SE3V 05QPAH,E3,B6T0000001196,箱,2026/6/3 18:15
320,SE3V KZ2U2T,E3,B6T0000001196,箱,2026/6/3 18:15
321,SE3V NHEYR8,E3,B6T0000001196,箱,2026/6/3 18:15
322,SE3V LNOEMQ,E3,B6T0000001196,箱,2026/6/3 18:15
323,SE3V GY27VY,E3,B6T0000001196,箱,2026/6/3 18:15
324,SE3V LIENFN,E3,B6T0000001196,箱,2026/6/3 18:15
325,SE3V VUPRT7,E3,B6T0000001196,箱,2026/6/3 18:15
326,SE3V 7GGKG4,E3,B6T0000001196,箱,2026/6/3 18:15
327,SE3V W58RHN,E3,B6T0000001196,箱,2026/6/3 18:15
328,SE3V UXORZP,E3,B6T0000001196,箱,2026/6/3 18:15
329,SE3V GU2HBI,E3,B6T0000001196,箱,2026/6/3 18:15
330,SE4V GQ01TE,E4,B6T0000000139,箱,2026/6/4 18:04
331,SE4V E13N3B,E4,B6T0000000139,箱,2026/6/4 18:04
332,SE4V ZT9D31,E4,B6T0000000139,箱,2026/6/4 18:04
333,SE4V K9QM3P,E4,B6T0000000139,箱,2026/6/4 18:04
334,SE4V 91I3VM,E4,B6T0000000139,箱,2026/6/4 18:04
335,SE4V ZWFFHH,E4,B6T0000000139,箱,2026/6/4 18:04
336,SE4V CMKTLZ,E4,B6T0000000139,箱,2026/6/4 18:04
337,SE4V KJ49YD,E4,B6T0000000139,箱,2026/6/4 18:04
338,SE4V 82795E,E4,B6T0000000139,箱,2026/6/4 18:04
339,SE4V 5IZ31Y,E4,B6T0000000139,箱,2026/6/4 18:04
340,SE4V RUJOQW,E4,B6T0000000139,箱,2026/6/4 18:04
341,SE4V 5DSK7N,E4,B6T0000000139,箱,2026/6/4 18:04
342,SE4V 8LA100,E4,B6T0000000139,箱,2026/6/4 18:04
343,SE4V QXMCTH,E4,B6T0000000139,箱,2026/6/4 18:04
344,SE4V PHJ3MU,E4,B6T0000000139,箱,2026/6/4 18:04
345,SE4V URMYBD,E4,B6T0000000139,箱,2026/6/4 18:04
346,SE4V 2QE4PA,E4,B6T0000000139,箱,2026/6/4 18:04
347,SE4V 8HYEXF,E4,B6T0000000139,箱,2026/6/4 18:04
348,SE4V 7JXJN6,E4,B6T0000000139,箱,2026/6/4 18:04
349,SE1V BW01PD,E1,B6T0000001370,箱,2026/6/3 6:12
350,SE1V DHCVSQ,E1,B6T0000001370,箱,2026/6/3 6:12
351,SE1V AME4YR,E1,B6T0000001370,箱,2026/6/3 6:12
352,SE1V ID3DNK,E1,B6T0000001370,箱,2026/6/3 6:12
353,SE1V N35XYC,E1,B6T0000001370,箱,2026/6/3 6:12
354,SE1V UVFMH0,E1,B6T0000001370,箱,2026/6/3 6:12
355,SE1V 7WPH6F,E1,B6T0000001370,箱,2026/6/3 6:12
356,SE1V E0MP2I,E1,B6T0000001370,箱,2026/6/3 6:12
357,SE1V XIVZK7,E1,B6T0000001370,箱,2026/6/3 6:12
358,SE1V A45HVG,E1,B6T0000001370,箱,2026/6/3 6:12
359,SE1V OX22IN,E1,B6T0000001370,箱,2026/6/3 6:12
360,SE1V IWC5AM,E1,B6T0000001370,箱,2026/6/3 6:12
361,SE1V LN4PTG,E1,B6T0000001370,箱,2026/6/3 6:12
362,SE1V Q9CVAH,E1,B6T0000001370,箱,2026/6/3 6:12
363,SE1V 8OKZ1P,E1,B6T0000001440,箱,2026/6/1 21:36
364,SE1V OXTFDC,E1,B6T0000001440,箱,2026/6/1 21:36
365,SE1V 79FLV1,E1,B6T0000001440,箱,2026/6/1 21:36
